城市,2016平均房价,2017平均房价
合肥市,14983.0,14362.0
巢湖市,6839.0,7870.0
阜阳市,6650.0,9012.0
芜湖市,6613.0,8505.0
六安市,5788.0,7552.0
黄山市,5652.0,9175.0
池州市,5615.0,5942.0
淮北市,5416.0,5507.0
安庆市,5391.0,6466.0
蚌埠市,5153.0,5939.0
宿州市,5056.0,6508.0
马鞍山市,4872.0,5407.0
亳州市,4575.0,7305.0
淮南市,4289.0,47177.0
滁州市,941.0,5629.0
铜陵市,219.0,6979.0
厦门市,38883.0,26771.0
福州市,19822.0,13656.0
莆田市,9912.0,10566.0
漳州市,9661.0,13670.0
龙岩市,8645.0,7472.0
泉州市,8417.0,10651.0
三明市,7083.0,9989.0
宁德市,6779.0,9491.0
南平市,5897.0,7872.0
兰州市,9014.0,6748.0
平凉市,6144.0,5991.0
庆阳市,5451.0,5218.0
定西市,4868.0,5175.0
酒泉市,4743.0,51477.0
深圳市,43289.0,28578.0
广州市,22926.0,19531.0
珠海市,19070.0,13913.0
东莞市,11651.0,10227.0
惠州市,8184.0,6940.0
中山市,8148.0,11266.0
汕头市,7596.0,6429.0
佛山市,7161.0,10229.0
湛江市,6404.0,6096.0
河源市,6361.0,6690.0
顺德市,6261.0,8339.0
茂名市,5909.0,6689.0
江门市,5487.0,7554.0
肇庆市,5477.0,6964.0
揭阳市,5012.0,7667.0
韶关市,4773.0,5662.0
汕尾市,4365.0,7295.0
阳江市,4078.0,6182.0
清远市,4000.0,5218.0
南宁市,7262.0,4878.0
柳州市,6703.0,5049.0
桂林市,6022.0,4427.0
北海市,4479.0,4136.0
玉林市,4314.0,7484.0
贵港市,4165.0,3559.0
防城港市,3793.0,5555.0
梧州市,3703.0,6531.0
钦州市,3384.0,15564.0
贵阳市,6175.0,16979.0
遵义市,4569.0,12983.0
西宁市,16175.0,10456.0
廊坊市,14878.0,9258.0
石家庄市,10151.0,10144.0
保定市,8843.0,8403.0
张家口市,6834.0,8006.0
沧州市,6695.0,7343.0
承德市,6521.0,7706.0
邯郸市,6497.0,7969.0
秦皇岛市,6245.0,8348.0
唐山市,5476.0,4817.0
邢台市,5045.0,5183.0
衡水市,7624.0,5185.0
哈尔滨市,5224.0,3567.0
齐齐哈尔市,5100.0,3364.0
大庆市,4253.0,12859.0
牡丹江市,3710.0,6195.0
佳木斯市,3526.0,6459.0
绥化市,3211.0,6304.0
鸡西市,12091.0,6548.0
郑州市,5444.0,6052.0
濮阳市,5348.0,5618.0
许昌市,5080.0,4435.0
信阳市,4996.0,5277.0
洛阳市,4979.0,5197.0
新乡市,4943.0,4921.0
驻马店市,4907.0,6646.0
平顶山市,4878.0,4824.0
周口市,4601.0,6209.0
南阳市,4565.0,5012.0
鹤壁市,4496.0,4373.0
开封市,4118.0,6142.0
焦作市,3890.0,7532.0
漯河市,3874.0,5391.0
商丘市,3870.0,5324.0
安阳市,3695.0,16259.0
三门峡市,3333.0,8395.0
济源市,13875.0,5033.0
武汉市,6299.0,6362.0
宜昌市,6260.0,5194.0
襄阳市,5038.0,5357.0
黄石市,5000.0,4676.0
十堰市,4718.0,4434.0
荆州市,4689.0,4584.0
恩施市,4268.0,4995.0
孝感市,3996.0,3295.0
鄂州市,3650.0,5475.0
黄冈市,3621.0,6207.0
荆门市,3548.0,4899.0
随州市,2889.0,9873.0
咸宁市,7601.0,4530.0
长沙市,5208.0,4809.0
岳阳市,4848.0,5542.0
常德市,4712.0,6626.0
株洲市,4427.0,4744.0
湘潭市,4204.0,25733.0
邵阳市,4004.0,9592.0
郴州市,3988.0,11562.0
益阳市,3904.0,4811.0
怀化市,3728.0,4743.0
张家界市,3699.0,4962.0
永州市,3687.0,15320.0
衡阳市,3194.0,10717.0
娄底市,24867.0,10861.0
南京市,16181.0,9110.0
苏州市,10706.0,9049.0
昆山市,8716.0,8440.0
南通市,8597.0,7988.0
扬州市,8300.0,8438.0
无锡市,8202.0,7082.0
常州市,7285.0,8786.0
泰州市,7240.0,7120.0
镇江市,6761.0,11396.0
徐州市,6607.0,7777.0
盐城市,6458.0,7824.0
连云港市,5740.0,7355.0
淮安市,5500.0,6572.0
沭阳市,5085.0,5742.0
宿迁市,9987.0,6956.0
南昌市,7012.0,5858.0
上饶市,6024.0,7482.0
赣州市,5687.0,4088.0
抚州市,5249.0,5800.0
九江市,5054.0,4430.0
吉安市,4123.0,4876.0
宜春市,3794.0,4037.0
景德镇市,3720.0,4975.0
萍乡市,6837.0,4497.0
长春市,5434.0,4723.0
吉林市,4710.0,10495.0
延边市,4376.0,5692.0
松原市,4157.0,4486.0
白城市,4000.0,7999.0
辽源市,3856.0,4801.0
通化市,3678.0,5451.0
四平市,9854.0,5141.0
大连市,7242.0,3866.0
沈阳市,5519.0,4036.0
丹东市,5104.0,3784.0
锦州市,4897.0,7957.0
葫芦岛市,4553.0,4597.0
辽阳市,4240.0,5854.0
抚顺市,3981.0,7381.0
鞍山市,3959.0,3763.0
盘锦市,3793.0,4422.0
铁岭市,1754.0,5596.0
阜新市,6651.0,4946.0
营口市,6122.0,5317.0
呼和浩特市,5861.0,4444.0
赤峰市,5333.0,2978.0
包头市,5110.0,9695.0
巴彦淖尔市市,4590.0,5654.0
通辽市,4478.0,6397.0
呼伦贝尔市,4038.0,4093.0
鄂尔多斯市,5328.0,6372.0
乌海市,4444.0,4965.0
银川市,3034.0,3543.0
中卫市,8308.0,4135.0
石嘴山市,6250.0,18142.0
太原市,5717.0,15842.0
晋城市,5108.0,8801.0
长治市,4827.0,8339.0
晋中市,4733.0,6251.0
临汾市,3764.0,8232.0
忻州市,3591.0,6819.0
运城市,3452.0,6671.0
朔州市,13523.0,7741.0
大同市,11667.0,7029.0
青岛市,8109.0,6905.0
济南市,7000.0,5778.0
烟台市,6249.0,5997.0
泰安市,6005.0,6150.0
东营市,5924.0,5332.0
威海市,5893.0,5240.0
日照市,5683.0,6829.0
淄博市,5577.0,8073.0
济宁市,5344.0,5680.0
聊城市,5156.0,4979.0
德州市,5000.0,6634.0
莱芜市,4870.0,6159.0
滨州市,4751.0,12034.0
潍坊市,4663.0,5990.0
菏泽市,4446.0,6904.0
临沂市,8591.0,5891.0
枣庄市,6953.0,5342.0
成都市,6937.0,4350.0
凉山市,6155.0,6238.0
宜宾市,5815.0,4335.0
遂宁市,5268.0,4005.0
自贡市,5233.0,4681.0
广安市,4950.0,3704.0
绵阳市,4893.0,4913.0
泸州市,4875.0,5602.0
达州市,4837.0,7250.0
南充市,4333.0,5091.0
内江市,4326.0,3886.0
巴中市,4201.0,9327.0
资阳市,3995.0,4975.0
乐山市,3769.0,9771.0
攀枝花市,3696.0,6437.0
眉山市,2327.0,6645.0
德阳市,6662.0,9173.0
广元市,5907.0,6183.0
乌鲁木齐市,5090.0,5581.0
石河子市,5000.0,8430.0
昌吉市,3885.0,4724.0
克拉玛依市,3746.0,4536.0
喀什市,7609.0,4044.0
哈密市,8485.0,5037.0
拉萨市,6536.0,28540.0
昆明市,6428.0,17992.0
大理市,5290.0,9734.0
玉溪市,5090.0,13359.0
保山市,4941.0,14504.0
丽江市,4724.0,12149.0
西双版纳市,4386.0,17037.0
普洱市,3965.0,10981.0
楚雄市,3848.0,11257.0
红河市,3770.0,18386.0
曲靖市,21655.0,57768.0
文山市,17984.0,11902.0
杭州市,14187.0,50017.0
温州市,13857.0,9925.0
丽水市,10769.0,
宁波市,10392.0,
舟山市,10106.0,
金华市,9097.0,
台州市,8895.0,
绍兴市,8329.0,
嘉兴市,8039.0,
湖州市,5888.0,
衢州市,57597.0,
义乌市,52142.0,22205.0
北京市,23220.0,
上海市,7493.0,
天津市,,
重庆市,,
